260892859	984150..984899	+	Ammonifex_degensii_KC4_uid41053	NC_013385	cas6	Makarova2015
260892860	984913..986907	+	Ammonifex_degensii_KC4_uid41053	NC_013385	cas8b1	Makarova2015
260892861	986907..987911	+	Ammonifex_degensii_KC4_uid41053	NC_013385	cas7b	Makarova2015
260892862	987918..988718	+	Ammonifex_degensii_KC4_uid41053	NC_013385	cas5	Makarova2015
260892863	988676..991141	+	Ammonifex_degensii_KC4_uid41053	NC_013385	cas3	Makarova2015
260892868	997405..999537	+	Ammonifex_degensii_KC4_uid41053	NC_013385	cas10	Makarova2015
260892869	999552..1000265	+	Ammonifex_degensii_KC4_uid41053	NC_013385	csm3	Makarova2015
260892871	1001429..1001815	+	Ammonifex_degensii_KC4_uid41053	NC_013385	csm2	Makarova2015
260892872	1001812..1002636	+	Ammonifex_degensii_KC4_uid41053	NC_013385	csm3	Makarova2015
260892873	1002629..1003525	+	Ammonifex_degensii_KC4_uid41053	NC_013385	csm3	Makarova2015
260892875	1004083..1005078	+	Ammonifex_degensii_KC4_uid41053	NC_013385	csm3,csm3	Makarova2015
440685077	30409..31539	-	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	cas6	Makarova2015
440685080	38604..40277	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	cas10	Makarova2015
440685081	40240..40932	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	csm3	Makarova2015
440685083	42568..44112	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	csm3,csm3	Makarova2015
440685087	51102..52910	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	cas8a4	Makarova2015
440685088	52903..53865	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	cas7	Makarova2015
440685089	53846..54598	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	cas5	Makarova2015
440685090	54576..55601	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	cas6	Makarova2015
440685092	56196..57173	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	cas1	Makarova2015
440685093	57170..57463	+	Anabaena_cylindrica_PCC_7122_uid183339	NC_019772	cas2	Makarova2015
320162241	3147017..3147289	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cas2	Makarova2015
320162242	3147300..3148349	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cas1	Makarova2015
320162243	3148362..3149351	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cas6	Makarova2015
320162244	3149351..3151732	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cas3	Makarova2015
320162245	3151735..3152454	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cas5	Makarova2015
320162246	3152469..3153548	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cas7	Makarova2015
320162247	3153570..3155039	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cas8b2	Makarova2015
320162250	3156372..3157301	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cmr6	Makarova2015
320162251	3157305..3157682	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cmr5	Makarova2015
320162252	3157687..3158592	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cmr4	Makarova2015
320162253	3158622..3159701	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cmr3	Makarova2015
320162254	3159698..3161458	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cas10	Makarova2015
320162255	3161455..3162387	-	Anaerolinea_thermophila_UNI_1_uid62245	NC_014960	cmr1	Makarova2015
15605875	245338..246288	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cas1	Makarova2015
15605877	246792..248981	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cas3	Makarova2015
15605878	248932..250527	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cas8b2	Makarova2015
15605879	250518..251177	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cas5	Makarova2015
15605880	251158..252231	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cas7	Makarova2015
15605884	254950..256071	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cmr6	Makarova2015
15605885	256087..256986	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cmr4	Makarova2015
15605886	257019..257906	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cmr1	Makarova2015
15605887	257872..258615	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cas6	Makarova2015
15605888	258857..259258	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cmr5	Makarova2015
15605889	259248..260135	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cmr4	Makarova2015
15605890	260132..261109	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cmr3	Makarova2015
15605891	261090..262955	-	Aquifex_aeolicus_VF5_uid57765	NC_000918	cas10	Makarova2015
11499443	1671367..1672236	-	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas6	Makarova2015
11499445	1672700..1673731	-	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cmr6	Makarova2015
11499446	1673728..1674195	-	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cmr5	Makarova2015
11499447	1674176..1675243	-	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cmr4	Makarova2015
11499450	1676488..1677513	-	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cmr3	Makarova2015
11499451	1677510..1680524	-	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas10	Makarova2015
11499452	1680461..1681450	-	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cmr1	Makarova2015
11499454	1682222..1682572	+	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	csa5	Makarova2015
11499455	1682556..1683515	+	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas7	Makarova2015
11499456	1683512..1684312	+	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas5	Makarova2015
11499457	1684300..1685472	+	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas8a1	Makarova2015
11499458	1685466..1687106	+	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas3	Makarova2015
11499459	1687103..1687828	+	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas3HD	Makarova2015
11499460	1687858..1688142	+	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas2	Makarova2015
11499462	1688708..1689745	-	Archaeoglobus_fulgidus_DSM_4304_uid57717	NC_000917	cas1	Makarova2015
15612890	347483..348859	+	Bacillus_halodurans_C_125_uid57791	NC_002570	cmr1	Makarova2015
15612891	348829..350643	+	Bacillus_halodurans_C_125_uid57791	NC_002570	cas10	Makarova2015
15612892	350603..351874	+	Bacillus_halodurans_C_125_uid57791	NC_002570	cmr3	Makarova2015
15612893	351874..352785	+	Bacillus_halodurans_C_125_uid57791	NC_002570	cmr4	Makarova2015
15612894	352782..353159	+	Bacillus_halodurans_C_125_uid57791	NC_002570	cmr5	Makarova2015
15612895	353156..353902	+	Bacillus_halodurans_C_125_uid57791	NC_002570	cmr6	Makarova2015
15612899	358059..360461	+	Bacillus_halodurans_C_125_uid57791	NC_002570	cas3	Makarova2015
